Name,Domain,Instance,No Drones,No Deliveries,Network,Deadline,Correlation Size,Trace,Generalized Variance,Largest Correlation Coefficient,Number of Constraints,MC Probability Booles,MC Probability Independent,MC Probability Correlated,Theoretical Probability Booles,Theoretical Probability Independent,Theoretical Probability Correlated,Booles Runtime,Indpendent Runtime,Correlated Runtime
drones_instance-1_network_1_deadline_13_corrsize_2,drones,1,1,1,1,13,2,2.4100028718791258,0.7161241599999999,0.5328,29,0.9969,0.9999,0.9999,1.0,0.9996833277018298,0.9996921176947863,0.10936546325683594,0.15236926078796387,0.5722219944000244
drones_instance-12_network_10_deadline_10_corrsize_2,drones,12,2,1,10,10,2,9.557181449612782,0.0413603399937923,0.9713,29,nan,0.0029,0.0036,nan,0.0004490868063044172,0.002962679347121474,nan,0.3271799087524414,0.8544552326202393
drones_instance-12_network_10_deadline_10_corrsize_3,drones,12,2,1,10,10,3,30.31013501014475,0.10314403528147693,0.8454,29,0.8726,0.8741,0.8737,0.8486442872847086,0.877797457540087,0.8730095012157132,0.11591362953186035,0.22022128105163574,5.24013090133667
drones_instance-12_network_10_deadline_10_corrsize_2,drones,12,2,1,10,10,2,9.557181449612782,0.0413603399937923,0.9713,29,nan,0.0027,0.0043,nan,0.0004490868063044172,0.002962679347121474,nan,0.3271799087524414,0.8544552326202393
drones_instance-12_network_10_deadline_10_corrsize_3,drones,12,2,1,10,10,3,30.31013501014475,0.10314403528147693,0.8454,29,0.8717,0.872,0.8717,0.8486442872847086,0.877797457540087,0.8730095012157132,0.11591362953186035,0.22022128105163574,5.24013090133667
drones_instance-12_network_10_deadline_10_corrsize_4,drones,12,2,1,10,10,3,15.61903167948409,0.18565276342445916,0.8858,29,0.6684,0.6687,0.6687,0.581855456058804,0.6356756105376459,0.6610418054016707,0.14873719215393066,0.20020508766174316,0.46524739265441895
drones_instance-12_network_10_deadline_11_corrsize_2,drones,12,2,1,10,11,2,8.606186387475471,0.4854792844172543,0.5736,29,0.997,0.9992,0.9992,1.0,0.9991214776924342,0.9990668010907392,0.11696600914001465,0.1580944061279297,0.12978267669677734
drones_instance-12_network_10_deadline_11_corrsize_3,drones,12,2,1,10,11,3,16.301266919764156,0.03416211645010521,0.8889,29,0.9653,0.9666,0.9665,0.9508227490058796,0.9617350231546709,0.9665645722493522,0.11389803886413574,0.21531271934509277,4.644149541854858
drones_instance-12_network_10_deadline_11_corrsize_4,drones,12,2,1,10,11,3,55.61175329763576,0.1728847502791494,0.6958,29,nan,0.0367,0.0403,nan,0.13826894856094032,0.040736601603683587,nan,0.33867645263671875,6.3056488037109375
drones_instance-12_network_10_deadline_12_corrsize_2,drones,12,2,1,10,12,2,15.477795236769197,0.5771401844873615,0.4922,29,0.9976,0.9983,0.9981,1.0,0.9983603796498361,0.9984356399278725,0.1111147403717041,0.496234655380249,0.1729435920715332
drones_instance-12_network_10_deadline_12_corrsize_3,drones,12,2,1,10,12,3,46.32779593230238,0.7871662693801788,0.3156,29,0.9118,0.9123,0.9124,0.8846643013847794,0.9072222945772377,0.9096959536071713,0.12236452102661133,0.23979687690734863,0.4543766975402832
drones_instance-12_network_10_deadline_12_corrsize_4,drones,12,2,1,10,12,3,10.121014625806879,0.8791912403931249,0.1946,29,0.9797,0.9803,0.9803,0.9722928341888415,0.9784684664933612,0.9784418250838312,0.2283937931060791,0.21679925918579102,1.180243730545044
drones_instance-12_network_10_deadline_13_corrsize_2,drones,12,2,1,10,13,2,11.510685333402604,0.3228605390334015,0.8082,29,0.9985,0.9999,0.9999,1.0,0.9996833277018298,0.9997058962297883,0.11346864700317383,0.1678621768951416,1.0024192333221436
drones_instance-12_network_10_deadline_13_corrsize_3,drones,12,2,1,10,13,3,32.393837500950504,0.6998224682798279,0.5202,29,0.157,0.164,0.1693,0.1125329076222889,0.15236169047457274,0.16784556600974776,0.11564445495605469,0.23059535026550293,1.0076332092285156
drones_instance-12_network_10_deadline_13_corrsize_4,drones,12,2,1,10,13,3,17.117555640179045,0.3640450717217681,0.5749,29,0.9971,0.9999,0.9999,1.0,0.9996833277018298,0.9996969855031336,0.14442658424377441,0.18890666961669922,1.0919771194458008
drones_instance-12_network_10_deadline_14_corrsize_2,drones,12,2,1,10,14,2,13.343085212670786,0.21702463979536007,0.8742,29,0.9984,0.9999,0.9999,1.0,0.9996833277018298,0.9997190422174391,0.22016549110412598,0.16577506065368652,1.1034371852874756
drones_instance-12_network_10_deadline_14_corrsize_3,drones,12,2,1,10,14,3,11.326725598736973,0.5752203937138165,0.4404,29,0.9938,0.9953,0.995,0.9923311766775157,0.9934082156395128,0.9932271954963341,0.11515974998474121,0.22138309478759766,0.7081124782562256
drones_instance-12_network_10_deadline_14_corrsize_4,drones,12,2,1,10,14,3,21.03051147066598,0.48750669275053327,0.621,29,0.998,0.9985,0.9985,0.9992043190357671,0.997702657578326,0.9977008501537877,0.11474156379699707,0.49493861198425293,0.16050171852111816
drones_instance-12_network_1_deadline_10_corrsize_2,drones,12,2,1,1,10,2,23.585919677179536,0.97644511287225,0.1195,29,0.3981,0.3975,0.3976,0.3429274728209348,0.4018009016019898,0.4129454483068439,0.11771345138549805,0.23381519317626953,0.2628800868988037
drones_instance-12_network_1_deadline_10_corrsize_3,drones,12,2,1,1,10,3,15.980628486108406,0.4792372364819002,0.5227,29,0.3764,0.3934,0.3984,0.2316188162695223,0.2883048014092458,0.3951509890094323,0.1171269416809082,0.2203683853149414,0.8480393886566162
drones_instance-12_network_1_deadline_10_corrsize_4,drones,12,2,1,1,10,3,27.549920123064744,0.859641381353444,0.3645,29,0.9226,0.9239,0.9238,0.9027006724744535,0.9228756592723274,0.9230851343341328,0.2265636920928955,0.20734310150146484,0.37992358207702637
